EVENT,BOUT,WEIGHTCLASS,weight_class,title_type,is_womens,is_tournament
UFC Fight Night: Cannonier vs. Gastelum ,Alexandre Pantoja vs. Brandon Royval,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Cannonier vs. Gastelum ,Austin Lingo vs. Luis Saldana,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Cannonier vs. Gastelum ,Brian Kelleher vs. Domingo Pilarte,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Cannonier vs. Gastelum ,Bea Malecki vs. Josiane Nunes,Women's Bantamweight Bout,bantamweight,regular,True,False
UFC Fight Night: Cannonier vs. Gastelum ,William Knight vs. Fabio Cherant,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC Fight Night: Cannonier vs. Gastelum ,Roosevelt Roberts vs. Ignacio Bahamondes,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Cannonier vs. Gastelum ,Sasha Palatnikov vs. Ramiz Brahimaj,Welterweight Bout,welterweight,regular,False,False
UFC 265: Lewis vs. Gane ,Derrick Lewis vs. Ciryl Gane,UFC Interim Heavyweight Title Bout,heavyweight,interim,False,False
UFC 265: Lewis vs. Gane ,Jose Aldo vs. Pedro Munhoz,Bantamweight Bout,bantamweight,regular,False,False
UFC 265: Lewis vs. Gane ,Michael Chiesa vs. Vicente Luque,Welterweight Bout,welterweight,regular,False,False
UFC 265: Lewis vs. Gane ,Tecia Pennington vs. Angela Hill,Women's Strawweight Bout,strawweight,regular,True,False
UFC 265: Lewis vs. Gane ,Song Yadong vs. Casey Kenney,Bantamweight Bout,bantamweight,regular,False,False
UFC 265: Lewis vs. Gane ,King Green vs. Rafael Fiziev,Lightweight Bout,lightweight,regular,False,False
UFC 265: Lewis vs. Gane ,Vince Morales vs. Drako Rodriguez,Bantamweight Bout,bantamweight,regular,False,False
UFC 265: Lewis vs. Gane ,Alonzo Menifield vs. Ed Herman,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC 265: Lewis vs. Gane ,Karolina Kowalkiewicz vs. Jessica Penne,Women's Strawweight Bout,strawweight,regular,True,False
UFC 265: Lewis vs. Gane ,Manel Kape vs. Ode Osbourne,Flyweight Bout,flyweight,regular,False,False
UFC 265: Lewis vs. Gane ,Miles Johns vs. Anderson Dos Santos,Bantamweight Bout,bantamweight,regular,False,False
UFC 265: Lewis vs. Gane ,Victoria Leonardo vs. Melissa Gatto,Women's Flyweight Bout,flyweight,regular,True,False
UFC 265: Lewis vs. Gane ,Johnny Munoz vs. Jamey Simmons,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Hall vs. Strickland ,Uriah Hall vs. Sean Strickland,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Hall vs. Strickland ,Cheyanne Vlismas vs. Gloria de Paula,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Hall vs. Strickland ,Niklas Stolze vs. Jared Gooden,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Hall vs. Strickland ,Collin Anglin vs. Melsik Baghdasaryan,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Hall vs. Strickland ,Bryan Barberena vs. Jason Witt,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Hall vs. Strickland ,Chris Gruetzemacher vs. Rafa Garcia,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Hall vs. Strickland ,Danny Chavez vs. Kai Kamaka,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Hall vs. Strickland ,Jinh Yu Frey vs. Ashley Yoder,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Hall vs. Strickland ,Ryan Benoit vs. Zarrukh Adashev,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Hall vs. Strickland ,Phil Rowe vs. Orion Cosce,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Sandhagen vs. Dillashaw ,Cory Sandhagen vs. TJ Dillashaw,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Sandhagen vs. Dillashaw ,Kyler Phillips vs. Raulian Paiva,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Sandhagen vs. Dillashaw ,Darren Elkins vs. Darrick Minner,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Sandhagen vs. Dillashaw ,Miranda Maverick vs. Maycee Barber,Women's Flyweight Bout,flyweight,regular,True,False
UFC Fight Night: Sandhagen vs. Dillashaw ,Adrian Yanez vs. Randy Costa,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Sandhagen vs. Dillashaw ,Punahele Soriano vs. Brendan Allen,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Sandhagen vs. Dillashaw ,Nassourdine Imavov vs. Ian Heinisch,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Sandhagen vs. Dillashaw ,Mickey Gall vs. Jordan Williams,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Sandhagen vs. Dillashaw ,Julio Arce vs. Andre Ewell,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Sandhagen vs. Dillashaw ,Sijara Eubanks vs. Elise Reed,Women's Flyweight Bout,flyweight,regular,True,False
UFC Fight Night: Sandhagen vs. Dillashaw ,Diana Belbita vs. Hannah Goldy,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Makhachev vs. Moises ,Islam Makhachev vs. Thiago Moises,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Makhachev vs. Moises ,Marion Reneau vs. Miesha Tate,Women's Bantamweight Bout,bantamweight,regular,True,False
UFC Fight Night: Makhachev vs. Moises ,Jeremy Stephens vs. Mateusz Gamrot,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Makhachev vs. Moises ,Rodolfo Vieira vs. Dustin Stoltzfus,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Makhachev vs. Moises ,Gabriel Benitez vs. Billy Quarantillo,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Makhachev vs. Moises ,Daniel Rodriguez vs. Preston Parsons,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Makhachev vs. Moises ,Amanda Lemos vs. Montserrat Conejo Ruiz,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Makhachev vs. Moises ,Khalid Taha vs. Sergey Morozov,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Makhachev vs. Moises ,Francisco Figueiredo vs. Malcolm Gordon,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Makhachev vs. Moises ,Alan Baudot vs. Rodrigo Nascimento,Heavyweight Bout,heavyweight,regular,False,False
UFC 264: Poirier vs. McGregor 3 ,Dustin Poirier vs. Conor McGregor,Lightweight Bout,lightweight,regular,False,False
UFC 264: Poirier vs. McGregor 3 ,Gilbert Burns vs. Stephen Thompson,Welterweight Bout,welterweight,regular,False,False
UFC 264: Poirier vs. McGregor 3 ,Tai Tuivasa vs. Greg Hardy,Heavyweight Bout,heavyweight,regular,False,False
UFC 264: Poirier vs. McGregor 3 ,Irene Aldana vs. Yana Santos,Women's Bantamweight Bout,bantamweight,regular,True,False
UFC 264: Poirier vs. McGregor 3 ,Sean O'Malley vs. Kris Moutinho,Bantamweight Bout,bantamweight,regular,False,False
UFC 264: Poirier vs. McGregor 3 ,Carlos Condit vs. Max Griffin,Welterweight Bout,welterweight,regular,False,False
UFC 264: Poirier vs. McGregor 3 ,Niko Price vs. Michel Pereira,Welterweight Bout,welterweight,regular,False,False
UFC 264: Poirier vs. McGregor 3 ,Ryan Hall vs. Ilia Topuria,Featherweight Bout,featherweight,regular,False,False
UFC 264: Poirier vs. McGregor 3 ,Trevin Giles vs. Dricus Du Plessis,Middleweight Bout,middleweight,regular,False,False
UFC 264: Poirier vs. McGregor 3 ,Jennifer Maia vs. Jessica Eye,Women's Flyweight Bout,flyweight,regular,True,False
UFC 264: Poirier vs. McGregor 3 ,Omari Akhmedov vs. Brad Tavares,Middleweight Bout,middleweight,regular,False,False
UFC 264: Poirier vs. McGregor 3 ,Zhalgas Zhumagulov vs. Jerome Rivera,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Gane vs. Volkov ,Ciryl Gane vs. Alexander Volkov,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Gane vs. Volkov ,Tanner Boser vs. Ovince Saint Preux,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Gane vs. Volkov ,Raoni Barcelos vs. Timur Valiev,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Gane vs. Volkov ,Andre Fili vs. Daniel Pineda,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Gane vs. Volkov ,Tim Means vs. Nicolas Dalby,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Gane vs. Volkov ,Renato Moicano vs. Jai Herbert,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Gane vs. Volkov ,Kennedy Nzechukwu vs. Danilo Marques,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC Fight Night: Gane vs. Volkov ,Shavkat Rakhmonov vs. Michel Prazeres,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Gane vs. Volkov ,Warlley Alves vs. Jeremiah Wells,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Gane vs. Volkov ,Marcin Prachnio vs. Ike Villanueva,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC Fight Night: Gane vs. Volkov ,Julia Avila vs. Julija Stoliarenko,Women's Bantamweight Bout,bantamweight,regular,True,False
UFC Fight Night: Gane vs. Volkov ,Charles Rosa vs. Justin Jaynes,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Gane vs. Volkov ,Yancy Medeiros vs. Damir Hadzovic,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Jung vs. Ige ,Chan Sung Jung vs. Dan Ige,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Jung vs. Ige ,Aleksei Oleinik vs. Serghei Spivac,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Jung vs. Ige ,Marlon Vera vs. Davey Grant,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Jung vs. Ige ,Julian Erosa vs. SeungWoo Choi,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Jung vs. Ige ,Wellington Turman vs. Bruno Silva,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Jung vs. Ige ,Matt Brown vs. Dhiego Lima,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Jung vs. Ige ,Aleksa Camur vs. Nicolae Negumereanu,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC Fight Night: Jung vs. Ige ,Kanako Murata vs. Virna Jandiroba,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Jung vs. Ige ,Khaos Williams vs. Matthew Semelsberger,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Jung vs. Ige ,Josh Parisian vs. Roque Martinez,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Jung vs. Ige ,Joaquim Silva vs. Ricky Glenn,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Jung vs. Ige ,Casey O'Neill vs. Lara Procopio,Women's Flyweight Bout,flyweight,regular,True,False
UFC 263: Adesanya vs. Vettori 2 ,Israel Adesanya vs. Marvin Vettori,UFC Middleweight Title Bout,middleweight,title,False,False
UFC 263: Adesanya vs. Vettori 2 ,Deiveson Figueiredo vs. Brandon Moreno,UFC Flyweight Title Bout,flyweight,title,False,False
UFC 263: Adesanya vs. Vettori 2 ,Leon Edwards vs. Nate Diaz,Welterweight Bout,welterweight,regular,False,False
UFC 263: Adesanya vs. Vettori 2 ,Demian Maia vs. Belal Muhammad,Welterweight Bout,welterweight,regular,False,False
UFC 263: Adesanya vs. Vettori 2 ,Paul Craig vs. Jamahal Hill,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC 263: Adesanya vs. Vettori 2 ,Drew Dober vs. Brad Riddell,Lightweight Bout,lightweight,regular,False,False
UFC 263: Adesanya vs. Vettori 2 ,Eryk Anders vs. Darren Stewart,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC 263: Adesanya vs. Vettori 2 ,Lauren Murphy vs. Joanne Wood,Women's Flyweight Bout,flyweight,regular,True,False
UFC 263: Adesanya vs. Vettori 2 ,Movsar Evloev vs. Hakeem Dawodu,Featherweight Bout,featherweight,regular,False,False
UFC 263: Adesanya vs. Vettori 2 ,Pannie Kianzad vs. Alexis Davis,Women's Bantamweight Bout,bantamweight,regular,True,False
UFC 263: Adesanya vs. Vettori 2 ,Matt Frevola vs. Terrance McKinney,Lightweight Bout,lightweight,regular,False,False
UFC 263: Adesanya vs. Vettori 2 ,Chase Hooper vs. Steven Peterson,Featherweight Bout,featherweight,regular,False,False
UFC 263: Adesanya vs. Vettori 2 ,Fares Ziam vs. Luigi Vendramini,Lightweight Bout,lightweight,regular,False,False
UFC 263: Adesanya vs. Vettori 2 ,Carlos Felipe vs. Jake Collier,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Rozenstruik vs. Sakai ,Jairzinho Rozenstruik vs. Augusto Sakai,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Rozenstruik vs. Sakai ,Walt Harris vs. Marcin Tybura,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Rozenstruik vs. Sakai ,Roman Dolidze vs. Laureano Staropoli,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Rozenstruik vs. Sakai ,Santiago Ponzinibbio vs. Miguel Baeza,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Rozenstruik vs. Sakai ,Dusko Todorovic vs. Gregory Rodrigues,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Rozenstruik vs. Sakai ,Montana De La Rosa vs. Ariane da Silva,Women's Flyweight Bout,flyweight,regular,True,False
UFC Fight Night: Rozenstruik vs. Sakai ,Tanner Boser vs. Ilir Latifi,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Rozenstruik vs. Sakai ,Francisco Trinaldo vs. Muslim Salikhov,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Rozenstruik vs. Sakai ,Makwan Amirkhani vs. Kamuela Kirk,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Rozenstruik vs. Sakai ,Alan Patrick vs. Mason Jones,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Rozenstruik vs. Sakai ,Manon Fiorot vs. Tabatha Ricci,Women's Flyweight Bout,flyweight,regular,True,False
UFC Fight Night: Rozenstruik vs. Sakai ,Sean Woodson vs. Youssef Zalal,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Rozenstruik vs. Sakai ,Claudio Puelles vs. Jordan Leavitt,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Font vs. Garbrandt ,Rob Font vs. Cody Garbrandt,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Font vs. Garbrandt ,Yan Xiaonan vs. Carla Esparza,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Font vs. Garbrandt ,Justin Tafa vs. Jared Vanderaa,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Font vs. Garbrandt ,Felicia Spencer vs. Norma Dumont,Women's Featherweight Bout,featherweight,regular,True,False
UFC Fight Night: Font vs. Garbrandt ,Ricardo Ramos vs. Bill Algeo,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Font vs. Garbrandt ,Jack Hermansson vs. Edmen Shahbazyan,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Font vs. Garbrandt ,Ben Rothwell vs. Chris Barnett,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Font vs. Garbrandt ,Court McGee vs. Claudio Silva,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Font vs. Garbrandt ,Bruno Silva vs. Victor Rodriguez,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Font vs. Garbrandt ,Josh Culibao vs. Shayilan Nuerdanbieke,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Font vs. Garbrandt ,David Dvorak vs. Juancamilo Ronderos,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Font vs. Garbrandt ,Rafael Alves vs. Damir Ismagulov,Lightweight Bout,lightweight,regular,False,False
UFC 262: Oliveira vs. Chandler ,Charles Oliveira vs. Michael Chandler,UFC Lightweight Title Bout,lightweight,title,False,False
UFC 262: Oliveira vs. Chandler ,Tony Ferguson vs. Beneil Dariush,Lightweight Bout,lightweight,regular,False,False
UFC 262: Oliveira vs. Chandler ,Matt Schnell vs. Rogerio Bontorin,Bantamweight Bout,bantamweight,regular,False,False
UFC 262: Oliveira vs. Chandler ,Katlyn Cerminara vs. Viviane Araujo,Women's Flyweight Bout,flyweight,regular,True,False
UFC 262: Oliveira vs. Chandler ,Shane Burgos vs. Edson Barboza,Featherweight Bout,featherweight,regular,False,False
UFC 262: Oliveira vs. Chandler ,Jacare Souza vs. Andre Muniz,Middleweight Bout,middleweight,regular,False,False
UFC 262: Oliveira vs. Chandler ,Lando Vannata vs. Mike Grundy,Featherweight Bout,featherweight,regular,False,False
UFC 262: Oliveira vs. Chandler ,Jordan Wright vs. Jamie Pickett,Middleweight Bout,middleweight,regular,False,False
UFC 262: Oliveira vs. Chandler ,Andrea Lee vs. Antonina Shevchenko,Women's Flyweight Bout,flyweight,regular,True,False
UFC 262: Oliveira vs. Chandler ,Gina Mazany vs. Priscila Cachoeira,Women's Flyweight Bout,flyweight,regular,True,False
UFC 262: Oliveira vs. Chandler ,Kevin Aguilar vs. Tucker Lutz,Featherweight Bout,featherweight,regular,False,False
UFC 262: Oliveira vs. Chandler ,Christos Giagos vs. Sean Soriano,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Rodriguez vs. Waterson ,Marina Rodriguez vs. Michelle Waterson-Gomez,Women's Flyweight Bout,flyweight,regular,True,False
UFC Fight Night: Rodriguez vs. Waterson ,Donald Cerrone vs. Alex Morono,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Rodriguez vs. Waterson ,Neil Magny vs. Geoff Neal,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Rodriguez vs. Waterson ,Maurice Greene vs. Marcos Rogerio de Lima,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Rodriguez vs. Waterson ,Diego Ferreira vs. Gregor Gillespie,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Rodriguez vs. Waterson ,Phil Hawes vs. Kyle Daukaus,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Rodriguez vs. Waterson ,Ludovit Klein vs. Michael Trizano,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Rodriguez vs. Waterson ,JunYong Park vs. Tafon Nchukwi,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Rodriguez vs. Waterson ,Christian Aguilera vs. Carlston Harris,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Reyes vs. Prochazka ,Dominick Reyes vs. Jiri Prochazka,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC Fight Night: Reyes vs. Prochazka ,Giga Chikadze vs. Cub Swanson,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Reyes vs. Prochazka ,Ion Cutelaba vs. Dustin Jacoby,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC Fight Night: Reyes vs. Prochazka ,Sean Strickland vs. Krzysztof Jotko,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Reyes vs. Prochazka ,Merab Dvalishvili vs. Cody Stamann,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Reyes vs. Prochazka ,Randa Markos vs. Luana Pinheiro,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Reyes vs. Prochazka ,Kai Kamaka vs. TJ Brown,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Reyes vs. Prochazka ,Poliana Botelho vs. Luana Carolina,Women's Flyweight Bout,flyweight,regular,True,False
UFC Fight Night: Reyes vs. Prochazka ,Loma Lookboonmee vs. Sam Hughes,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Reyes vs. Prochazka ,Andreas Michailidis vs. KB Bhullar,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Reyes vs. Prochazka ,Luke Sanders vs. Felipe Colares,Featherweight Bout,featherweight,regular,False,False
UFC 261: Usman vs. Masvidal 2 ,Kamaru Usman vs. Jorge Masvidal,UFC Welterweight Title Bout,welterweight,title,False,False
UFC 261: Usman vs. Masvidal 2 ,Zhang Weili vs. Rose Namajunas,UFC Women's Strawweight Title Bout,strawweight,title,True,False
UFC 261: Usman vs. Masvidal 2 ,Valentina Shevchenko vs. Jessica Andrade,UFC Women's Flyweight Title Bout,flyweight,title,True,False
UFC 261: Usman vs. Masvidal 2 ,Uriah Hall vs. Chris Weidman,Middleweight Bout,middleweight,regular,False,False
UFC 261: Usman vs. Masvidal 2 ,Anthony Smith vs. Jimmy Crute,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC 261: Usman vs. Masvidal 2 ,Alex Oliveira vs. Randy Brown,Welterweight Bout,welterweight,regular,False,False
UFC 261: Usman vs. Masvidal 2 ,Dwight Grant vs. Stefan Sekulic,Welterweight Bout,welterweight,regular,False,False
UFC 261: Usman vs. Masvidal 2 ,Karl Roberson vs. Brendan Allen,Middleweight Bout,middleweight,regular,False,False
UFC 261: Usman vs. Masvidal 2 ,Pat Sabatini vs. Tristan Connelly,Featherweight Bout,featherweight,regular,False,False
UFC 261: Usman vs. Masvidal 2 ,Batgerel Danaa vs. Kevin Natividad,Bantamweight Bout,bantamweight,regular,False,False
UFC 261: Usman vs. Masvidal 2 ,Kazula Vargas vs. Rongzhu,Lightweight Bout,lightweight,regular,False,False
UFC 261: Usman vs. Masvidal 2 ,Aoriqileng vs. Jeff Molina,Flyweight Bout,flyweight,regular,False,False
UFC 261: Usman vs. Masvidal 2 ,Liang Na vs. Ariane Carnelossi,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Whittaker vs. Gastelum ,Robert Whittaker vs. Kelvin Gastelum,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Whittaker vs. Gastelum ,Andrei Arlovski vs. Chase Sherman,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Whittaker vs. Gastelum ,Abdul Razak Alhassan vs. Jacob Malkoun,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Whittaker vs. Gastelum ,Tracy Cortez vs. Justine Kish,Women's Flyweight Bout,flyweight,regular,True,False
UFC Fight Night: Whittaker vs. Gastelum ,Luis Pena vs. Alexander Munoz,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Whittaker vs. Gastelum ,Alexandr Romanov vs. Juan Espino,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Whittaker vs. Gastelum ,Jessica Penne vs. Loopy Godinez,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Whittaker vs. Gastelum ,Bartosz Fabinski vs. Gerald Meerschaert,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Whittaker vs. Gastelum ,Austin Hubbard vs. Dakota Bush,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Whittaker vs. Gastelum ,Tony Gravely vs. Anthony Birchak,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Vettori vs. Holland ,Marvin Vettori vs. Kevin Holland,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Vettori vs. Holland ,Arnold Allen vs. Sodiq Yusuff,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Vettori vs. Holland ,Sam Alvey vs. Julian Marquez,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Vettori vs. Holland ,Nina Nunes vs. Mackenzie Dern,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Vettori vs. Holland ,Mike Perry vs. Daniel Rodriguez,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Vettori vs. Holland ,Jim Miller vs. Joe Solecki,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Vettori vs. Holland ,Scott Holtzman vs. Mateusz Gamrot,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Vettori vs. Holland ,John Makdessi vs. Ignacio Bahamondes,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Vettori vs. Holland ,Yorgan De Castro vs. Jarjis Danho,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Vettori vs. Holland ,Hunter Azure vs. Jack Shore,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Vettori vs. Holland ,Luis Saldana vs. Jordan Griffin,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Vettori vs. Holland ,Da Woon Jung vs. William Knight,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC Fight Night: Vettori vs. Holland ,Impa Kasanganay vs. Sasha Palatnikov,Welterweight Bout,welterweight,regular,False,False
UFC 260: Miocic vs. Ngannou ,Stipe Miocic vs. Francis Ngannou,UFC Heavyweight Title Bout,heavyweight,title,False,False
UFC 260: Miocic vs. Ngannou ,Tyron Woodley vs. Vicente Luque,Welterweight Bout,welterweight,regular,False,False
UFC 260: Miocic vs. Ngannou ,Sean O'Malley vs. Thomas Almeida,Bantamweight Bout,bantamweight,regular,False,False
UFC 260: Miocic vs. Ngannou ,Gillian Robertson vs. Miranda Maverick,Women's Flyweight Bout,flyweight,regular,True,False
UFC 260: Miocic vs. Ngannou ,Jamie Mullarkey vs. Khama Worthy,Lightweight Bout,lightweight,regular,False,False
UFC 260: Miocic vs. Ngannou ,Alonzo Menifield vs. Fabio Cherant,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC 260: Miocic vs. Ngannou ,Jared Gooden vs. Abubakar Nurmagomedov,Welterweight Bout,welterweight,regular,False,False
UFC 260: Miocic vs. Ngannou ,Modestas Bukauskas vs. Michal Oleksiejczuk,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC 260: Miocic vs. Ngannou ,Shane Young vs. Omar Morales,Featherweight Bout,featherweight,regular,False,False
UFC 260: Miocic vs. Ngannou ,Marc-Andre Barriault vs. Abu Azaitar,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Brunson vs. Holland ,Derek Brunson vs. Kevin Holland,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Brunson vs. Holland ,Song Kenan vs. Max Griffin,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Brunson vs. Holland ,Cheyanne Vlismas vs. Montserrat Conejo Ruiz,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Brunson vs. Holland ,Adrian Yanez vs. Gustavo Lopez,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Brunson vs. Holland ,Tai Tuivasa vs. Harry Hunsucker,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Brunson vs. Holland ,Marion Reneau vs. Macy Chiasson,Women's Bantamweight Bout,bantamweight,regular,True,False
UFC Fight Night: Brunson vs. Holland ,Leonardo Santos vs. Grant Dawson,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Brunson vs. Holland ,Trevin Giles vs. Roman Dolidze,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Brunson vs. Holland ,Montel Jackson vs. Jesse Strader,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Brunson vs. Holland ,Bruno Silva vs. JP Buys,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Edwards vs. Muhammad ,Leon Edwards vs. Belal Muhammad,Welterweight Bout,welterweight,regular,False,False
