name,fighter_id,match_type,score
Antonio Carvalho,316,exact,100
Antonio Dos Santos,317,exact,100
Antonio McKee,320,exact,100
Antonio Mendes,321,exact,100
Antonio Rodrigo Nogueira,323,exact,100
Antonio Silva,325,exact,100
Antonio Trocoli,326,exact,100
Anying Wang,331,exact,100
Aoriqileng,332,exact,100
Ariane Carnelossi,333,exact,100
Ariane da Silva,334,exact,100
Ariel Beck,335,exact,100
Arjan Bhullar,338,exact,100
Arman Tsarukyan,341,exact,100
Armen Petrosyan,343,exact,100
Arnold Allen,344,exact,100
Artem Lobov,349,exact,100
Asbel Cancio,354,exact,100
Ashkan Mokhtarian,357,exact,100
Ashlee Evans-Smith,358,exact,100
Ashley Yoder,359,exact,100
Askar Askarov,362,exact,100
Askar Mozharov,363,exact,100
Aspen Ladd,364,exact,100
Assuerio Silva,365,exact,100
Asu Almabayev,366,exact,100
Ateba Gautier,367,exact,100
Augusto Mendes,369,exact,100
Augusto Montano,370,exact,100
Augusto Sakai,371,exact,100
Austen Lane,373,exact,100
Austin Arnett,374,exact,100
Austin Bashi,375,exact,100
Austin Hubbard,376,exact,100
Austin Lingo,377,exact,100
Austin Springer,378,exact,100
Austin Vanderford,380,exact,100
Axel Sola,381,exact,100
Azamat Bekoev,382,exact,100
Azamat Gashimov,383,exact,100
Azamat Murzakanov,384,exact,100
Azat Maksum,386,exact,100
Azunna Anyanwu,388,exact,100
BJ Penn,389,exact,100
Baergeng Jieleyisi,390,exact,100
Baisangur Susurkaev,393,exact,100
Barb Honchak,396,exact,100
Bart Palaszewski,397,exact,100
Bartosz Fabinski,398,exact,100
Bas Rutten,401,exact,100
Bassil Hafez,402,exact,100
Batgerel Danaa,403,exact,100
Bea Malecki,405,exact,100
Bec Rawlings,406,exact,100
Bekzat Almakhan,407,exact,100
Belal Muhammad,408,exact,100
Ben Alloway,409,exact,100
Ben Askren,410,exact,100
Ben Earwood,411,exact,100
Ben Johnston,413,exact,100
Ben Nguyen,416,exact,100
Ben Rothwell,418,exact,100
Ben Saunders,419,exact,100
Ben Sosoli,420,exact,100
Ben Wall,421,exact,100
Benardo Sopaj,422,exact,100
Beneil Dariush,424,exact,100
Benito Lopez,425,exact,100
Benji Radach,427,exact,100
Benoit Saint Denis,428,exact,100
Benson Henderson,429,exact,100
Bentley Syler,430,exact,100
Bernardo Magalhaes,431,exact,100
Besam Yousef,433,exact,100
Bethe Correia,434,exact,100
Bevon Lewis,435,exact,100
Bharat Kandare,436,exact,100
Bia Mesquita,437,exact,100
Bibulatov Magomed,2768,fuzzy_accept,100
Bill Algeo,439,exact,100
Bill Mahood,442,exact,100
Billy Elekana,444,exact,100
Billy Miles,447,exact,100
Billy Quarantillo,449,exact,100
Billy Ray Goff,450,exact,100
Blagoy Ivanov,452,exact,100
Blake Bilder,454,exact,100
Blood Diamond,458,exact,100
Bo Nickal,462,exact,100
Bob Cook,463,exact,100
Bob Gilstrap,464,exact,100
Bobby Hoffman,470,exact,100
Bobby Moffett,473,exact,100
Bobby Nash,474,exact,100
Bobby Southworth,476,exact,100
Bobby Voelker,478,exact,100
Bogdan Grad,479,exact,100
Bogdan Guskov,480,exact,100
Bojan Mihajlovic,481,exact,100
Bojan Velickovic,482,exact,100
Bolaji Oki,483,exact,100
Boston Salmon,485,exact,100
Brad Blackburn,486,exact,100
Brad Gumm,487,exact,100
Brad Imes,488,exact,100
Brad Katona,489,exact,100
Brad Kohler,490,exact,100
Brad Morris,492,exact,100
Brad Pickett,493,exact,100
Brad Riddell,494,exact,100
Brad Scott,496,exact,100
Brad Tavares,497,exact,100
Brady Hiestand,499,exact,100
Branden Lee Hinkle,502,exact,100
Brando Pericic,503,exact,100
Brandon Davis,505,exact,100
Brandon Jenkins,512,exact,100
Brandon Melendez,516,exact,100
Brandon Moreno,518,exact,100
Brandon Royval,520,exact,100
Brandon Thatch,525,exact,100
Brandon Vera,526,exact,100
Brandon Wolff,528,exact,100
Braxton Smith,530,exact,100
Brendan Allen,531,exact,100
Brendan Loughnane,532,exact,100
Brendan O'Reilly,533,exact,100
Brendan Schaub,534,exact,100
Brendon Marotte,536,exact,100
Brendson Ribeiro,537,exact,100
Brett Johns,543,exact,100
Brian Bowles,546,exact,100
Brian Camozzi,547,exact,100
Brian Cobb,548,exact,100
Brian Ebersole,550,exact,100
Brian Foster,551,exact,100
Brian Gassaway,552,exact,100
Brian Geraghty,553,exact,100
Brian Houston,554,exact,100
Brian Johnston,555,exact,100
Brian Kelleher,556,exact,100
Brian Melancon,559,exact,100
Brian Ortega,560,exact,100
Brian Stann,564,exact,100
Brianna Fortino,566,exact,100
Bristol Marunde,567,exact,100
Brock Jardine,568,exact,100
Brock Larson,569,exact,100
Brock Lesnar,570,exact,100
Brodie Farber,571,exact,100
Brogan Walker,572,exact,100
Brok Weaver,573,exact,100
Bruna Brasil,576,exact,100
Brunno Ferreira,577,exact,100
Bruno Korea,580,exact,100
Bruno Lopes,581,exact,100
Bruno Santos,583,exact,100
Bruno Silva,585,exact,100
Bruno Souza,586,exact,100
Bryan Barberena,588,exact,100
Bryan Battle,589,exact,100
Bryan Caraway,590,exact,100
Bryce Mitchell,597,exact,100
Bubba Bush,600,exact,100
Buddy Roberts,604,exact,100
Byron Bloodworth,605,exact,100
CB Dollaway,606,exact,100
CJ Fernandes,607,exact,100
CJ Keith,609,exact,100
CJ Vergara,611,exact,100
CM Punk,612,exact,100
